,Job Title,Job Description,Job Salary,Job Company,Job Link,Job Type
47,Desarrollador Back-end Jr.,"Somos un equipo multicultural trabajando en la transformación del ecosistema e-commerce, actualmente nuestra plataforma está cambiando de manera radical la…","$15,000 - $25,000 al mes",Entropy,/pagead/clk?mo=r&ad=-6NYlbfkN0A7W8bu-BrN6O4YMqx2Eb1XMwu61DvilGGEb23gRiMY10iEccBQCqJa3K4xfdFFBR0SZ4SNBwUp1wArcgYwLABihWXakehMp7BAMqHP2t1nKHrM5PFwe3BkZkcdoF3-Zj5qSW7l4JsNhVHpixcA-6yFbLzSJUpQ5VjKV-jeXcrfmDicL-qf0AfRO_WAZcgoLgX1WVTDB2gpAQOW9pcdjlY2APhG6HfvLr36WqD0R7MdVBFFSnltK0mquaKXJVhOdGAsVLNuTEDTfiw1XZAFBXN2U2TapziqcFwDJRhuXLTAqGkr8TaN84vlZmjpMKUsotAPSBZqrr8tXgIsoGNwt0IGJdJ4XljaQ4B15PEIVz2ZiDGqPl9I7_Cha0LCzehE_5Um6zeVpBe8Y_Olz0Oo4wRCxz_rGvP4DsplaFsUAqC3qw==&p=12&fvj=1&vjs=3,python
48,Desarrollador Web Full Stack,"C#, Java, Python, Node ( 1 o más). En Nueve y Media estamos buscando 3 desarrolladores web full stack para un proyecto de 6 meses. Experiencia mínima de 2 años.","$20,000 - $30,000 al mes",Nueve y Media,/pagead/clk?mo=r&ad=-6NYlbfkN0AyZxxlLYBWz3SeOjz1BC8xkTlzlWVeHE6hIEriORjBij0Khq296H232spzCUUS3_Y0J5vsdKE38cspjLjplmaWRo9sGAKR7u76B2L3TWQR8JTBkYjFobWIeBii5FnBcixj79JFXP-NuSFWDBRZ38GyiZN6-W6IndR6SJUAP5WbBn0uy4SxxhHSx-UEXtFPzCol3OMyZxOZ-EihBh6SsqgunapQknOjOLz7e2VaFDzX3stc0utvYgh6wcQ7lTJzWstL-EsuYMfhsBvJgTca6m-s4GrrKivGGz0HzyPLZ1-txX--gaF8M6Ijd2Fgj2xVMi4g5at5A69dQ3curEINJuv4t8CzggzqDFljq8kMRoVriBt0Ozlma1Ac__8o33HJ6p1PrfsBUTyrtmRxG20yk31Tk8ysUBHlKWrWBLi_Tz5eM1GdJA8lXRna&p=2&fvj=1&vjs=3,python
49,Desarrollador Back-end Jr.,"Somos un equipo multicultural trabajando en la transformación del ecosistema e-commerce, actualmente nuestra plataforma está cambiando de manera radical la…","$15,000 - $25,000 al mes",Entropy,/pagead/clk?mo=r&ad=-6NYlbfkN0A7W8bu-BrN6O4YMqx2Eb1XMwu61DvilGGEb23gRiMY10iEccBQCqJa3K4xfdFFBR0SZ4SNBwUp1wArcgYwLABihWXakehMp7BAMqHP2t1nKHrM5PFwe3BkZkcdoF3-Zj5qSW7l4JsNhVHpixcA-6yFbLzSJUpQ5VjuUD39WabDjThtCTNqW_GvZNRUm1S_0dMKJyH0ev_snZSQbXrHeyduURcdpbtJ9tjng_RaGB9YThk1vFPNm_lHWBeN_gRLa8Y05i0P_YASaXBiWPQ1d4yF_1oRRoS_pHgAhLtHGEFBNh5y32AJ1ydNy8LvZw9zhWKWgXdkeEndA_i9DAlkqs1aqRlaa856A3S1o5HYa3duiAxahjkch90qze5rjcAxkXRQu1Ls8setuBtS_FiV8kuT5C2OsDlKDJJV69t-X19w1w==&p=3&fvj=1&vjs=3,python
50,Líder QA Automatizacion,PruTech Solutions es una empresa de Tecnologías de la Información que surge con el propósito de ofrecer sus servicios y soluciones para las empresas mexicanas…,$100 al día,PruTech Solutions,/rc/clk?jk=b01a0bae8aef4152&fccid=e0c3de24593e2040&vjs=3,python
51,PROGRAMADOR WEB RECIEN EGRESADOS,"Html, Java, javascript, php, mysql, Mongodb, Python, ó C++,. EMPRESA DEDICADA A BRINDAR LA MEJOR OPCION DE HOGAR A LAS FAMILIAS MEXICANAS TE INVITA A SER PARTE…","$8,000 - $11,000 al mes",REVIMEX,/company/REVIMEX/jobs/Programador-web-recien-egresados-5c0fbb0042118462?fccid=fb4ff085d67e4558&vjs=3,python
52,Desarrollador Web Full Stack,"C#, Java, Python, Node ( 1 o más). En Nueve y Media estamos buscando 3 desarrolladores web full stack para un proyecto de 6 meses. Experiencia mínima de 2 años.","$20,000 - $30,000 al mes",Nueve y Media,/pagead/clk?mo=r&ad=-6NYlbfkN0AyZxxlLYBWz3SeOjz1BC8xkTlzlWVeHE6hIEriORjBij0Khq296H232spzCUUS3_Y0J5vsdKE38cspjLjplmaWRo9sGAKR7u76B2L3TWQR8JTBkYjFobWIeBii5FnBcixj79JFXP-NuSFWDBRZ38GyiZN6-W6IndT1lG1OZOywu3TDVPjRtougy2Tic4cqvJjYY17h7WxzsD6LHrWKTxBpPBCCe2wQGPFwUXncCKkJZGksVVX-0rRJWTP87BncZxkYSMI92urWPTxETMjm1vEEeaTEp_b-Z4amypSs8uyBVq5FCyS124LpcG8N8OMDbrqctwMvKfiSSvZiomHHxNkU82-ddO2IpAVZAciNBDIYVUYk6xK1hJAbBD55AxS8uBaFJESLlcQS3vKLFuzjXYcL8n3zM236pyjtLF0fpitZ85SWuj5BoRzR&p=2&fvj=1&vjs=3,python
53,Desarrollador Back-end Jr.,"Somos un equipo multicultural trabajando en la transformación del ecosistema e-commerce, actualmente nuestra plataforma está cambiando de manera radical la…","$15,000 - $25,000 al mes",Entropy,/pagead/clk?mo=r&ad=-6NYlbfkN0A7W8bu-BrN6O4YMqx2Eb1XMwu61DvilGGEb23gRiMY10iEccBQCqJa3K4xfdFFBR0SZ4SNBwUp1wArcgYwLABihWXakehMp7BAMqHP2t1nKHrM5PFwe3BkZkcdoF3-Zj5qSW7l4JsNhVHpixcA-6yFbLzSJUpQ5VgtPTm7tpNCU-5A0Gc0GEx8Fe-JCFXhlKUJo_LWN5vfljgHo1mjf1K9pstTpgO_yFI-GBGRuG44WNzPe5-ib6NFru5-_5api-E9hgfGoTmvR0-oWR3H67UZp7I0m0eVBIdf4WTBaQmFhGzsI6q-uoLlqzUYsobi260zOFiDaKIMvQN81M4GabtafdU_4P7ywerWyFL-5kX-DVj7J6qdVHvTQdwRZKvEGC8NFpDH_jvAVnddEhQ-AOhx7dWBp7zj-iPIKpN8oAHveg==&p=3&fvj=1&vjs=3,python
54,Desarrollador Python Sr,"El equipo creativo del área de TI está buscando un desarrollador Python con mucha pasión, ideas, iniciativa y creatividad para crear y desarrollar software.","$25,000 - $30,000 al mes",PODEMOS PROGRESAR SA DE CV SOFOM ENR,/rc/clk?jk=2d40cd68f426797c&fccid=60fac0f5076bf97c&vjs=3,python
55,Consultor BI Analyst,"Programación intermedia o avanzada java, abap, php, python. Ingeniero en sistemas o afín. 2+ años en el puesto. $30,000 a $34,000 M/ Netos.","$30,000 - $34,000 al mes",Branch Bit,/company/Branch-Bit/jobs/Consultor-bi-analyst-07521ab93522fe7a?fccid=0afcde69684243c8&vjs=3,python
56,ESPECIALISTA EN MACHINE LEARNING,Administración de Base de Datos. Importante consultoría TI solicita especialista para seguros y pensiones: Técnicas de bases de datos (optimización de consultas…,"$60,000 al mes",Organización Formación y Desarrollo Del Capital Hu...,/rc/clk?jk=d9b636711a149e88&fccid=edeb6b43f31d676a&vjs=3,python
